"CAN","CA02","Abbotsford","YXX","Abbotsford"
"CAN","CA06","Aklavik","LAK","Aklavik"
"CAN",,"Akulivik","AKV","Akulivik Airport"
"CAN","CA13","Alert","YLT","Alert"
"CAN","CA10","Alma","YTF","Alma Airport"
"CAN","CA02","Anahim Lake","YAA","Anahim Lake Airport"
"CAN","CA13","Arctic Bay","YAB","Arctic Bay Airport"
"CAN","CA08","Armstrong","YYW","Armstrong"
"CAN","CA13","Eskimo Point","YEK","Arviat"
"CAN","CA08","Atikokan","YIB","Atikokan Muni"
"CAN","CA08","Attawapiskat","YAT","Attawapiskat Airport"
"CAN","CA10","Aupaluk","YPJ","Aupaluk Airport"
"CAN","CA10","Bagotville","YBG","Bagotville"
"CAN","CA10","Baie Comeau","YBC","Baie Comeau"
"CAN","CA13","Baker Lake","YBK","Baker Lake"
"CAN","CA04","Bathurst","ZBF","Bathurst Airport"
"CAN","CA08","Bearskin Lake","XBE","Bearskin Lake Airport"
"CAN",,"Bedwell Harbour",,"Bedwell Harbour Water Aerdrome"
"CAN","CA02","Bella Bella","ZEL","Bella Bella Airport"
"CAN","CA02","Bella Coola","QBC","Bella Coola Airport"
"CAN","CA03","Berens River","YBV","Berens River"
"CAN",,"Big Bay","YRR","Big Bay Water Aerodrome"
"CAN","CA08","Big Trout Lake","YTL","Big Trout Lake Airport"
"CAN","CA05","Black Tickle","YBI","Black Tickle Airport"
"CAN","CA10","Bonaventure","YVB","Bonaventure Airport"
"CAN","CA01","Bonnyville","YBY","Bonnyville Airport"
"CAN","CA02","Boundary Bay","YDT","Boundary Bay Airport"
"CAN","CA08","Brampton",,"Brampton Airport"
"CAN","CA03","Brandon","YBR","Brandon Muni"
"CAN","CA08","Brantford","YFD","Brantford"
"CAN","CA03","Brochet","YBT","Brochet Airport"
"CAN",,"Brockville",,"Brockville Megabus Stop"
"CAN",,"Brockville",,"Brockville VIA Station"
"CAN","CA11","Buffalo Narrows","YVT","Buffalo Narrows"
"CAN","CA08","Burlington",,"Burlington Airpark"
"CAN","CA12","Burwash","YDB","Burwash"
"CAN","CA08","Toronto","YKZ","Buttonville Muni"
"CAN","CA01","Calgary","YYC","Calgary Intl"
"CAN","CA01","Calgary","YBW","Calgary Springbank Airport"
"CAN","CA13","Cambridge Bay","YCB","Cambridge Bay"
"CAN","CA02","Campbell River","YBL","Campbell River"
"CAN","CA02","Cranbrook","YXC","Canadian Rockies Intl"
"CAN",,"Cape Dorset","YTE","Cape Dorset"
"CAN","CA12","Carcross YT",,"Carcross"
"CAN","CA05","Cartwright","YRF","Cartwright Airport"
"CAN","CA02","Castlegar","YCG","Castlegar"
"CAN","CA08","Cat Lake","YAC","Cat Lake Airport"
"CAN",,"Montreal","YMY","Central Railway Station"
"CAN","CA10","Chibougamau","YMT","Chapais Airport"
"CAN","CA08","Chapleau","YLD","Chapleau"
"CAN","CA04","Charlo","YCL","Charlo"
"CAN","CA09","Charlottetown","YYG","Charlottetown"
"CAN","CA13","Chesterfield Inlet","YCS","Chesterfield Inlet Airport"
"CAN","CA10","Chevery","YHR","Chevery Airport"
"CAN","CA02","Chilliwack","YCW","Chilliwack"
"CAN","CA10","Chisasibi","YKU","Chisasibi Airport"
"CAN","CA08","Sarnia","YZR","Chris Hadfield"
"CAN","CA03","Churchill","YYQ","Churchill"
"CAN","CA05","Churchill Falls","ZUM","Churchill Falls Airport"
"CAN","CA08","Toronto","YTZ","City Centre"
"CAN","CA13","Clyde River","YCY","Clyde River"
"CAN","CA01","Cold Lake","YOD","Cold Lake"
"CAN","CA08","Collingwood",,"Collingwood"
"CAN","CA06","Colville Lake","YCK","Colville Lake Airport"
"CAN",,"Comox","YQQ","Comox"
"CAN",,"Cornwall","YCC","Cornwall Regional Airport"
"CAN","CA01","Coronation","YCT","Coronation"
"CAN","CA03","Cross Lake","YCR","Cross Lake - Charlie Sinclair Memorial Airport"
"CAN","CA03","Dauphin","YDN","Dauphin Barker"
"CAN","CA12","Dawson","YDA","Dawson City"
"CAN","CA02","Dawson Creek","YDQ","Dawson Creek"
"CAN","CA02","Dease Lake","YDL","Dease Lake"
"CAN","CA05","Deer Lake","YDF","Deer Lake"
"CAN","CA08","Deer Lake","YVZ","Deer Lake Airport"
"CAN","CA06","Deline","YWJ","Deline"
"CAN","CA10","Dorval","XAX","Dorval Railway Station"
"CAN","CA08","Toronto","YZD","Downsview"
"CAN","CA08","Dryden","YHD","Dryden Rgnl"
"CAN",,"Eastmain River","ZEM","Eastmain River Airport"
"CAN","CA01","Edmonton","YXD","Edmonton City Centre"
"CAN","CA01","Edmonton","YEG","Edmonton Intl"
"CAN","CA01","Edson","YET","Edson"
"CAN","CA06","Ekati","YOA","Ekati"
"CAN","CA11","Estevan","YEN","Estevan"
"CAN",,"Eureka","YEU","Eureka"
"CAN","CA13","Coral Harbour","YZS","Fairmont Hot Springs"
"CAN","CA12","Faro","ZFA","Faro"
"CAN","CA01","Wainwright",,"Field 21"
"CAN","CA01","Wainwright",,"Field 21"
"CAN","CA03","Flin Flon","YFO","Flin Flon"
"CAN","CA11","Fond-Du-Lac","ZFD","Fond-Du-Lac Airport"
"CAN","CA10","Forestville",,"Forestville"
"CAN",,"Fort Albany","YFA","Fort Albany Airport"
"CAN","CA01","Fort Chipewyan","YPY","Fort Chipewyan"
"CAN","CA08","Fort Frances","YAG","Fort Frances Municipal Airport"
"CAN","CA06","Fort Good Hope","YGH","Fort Good Hope"
"CAN","CA08","Fort Hope","YFH","Fort Hope Airport"
"CAN","CA01","Fort Mcmurray","YMM","Fort Mcmurray"
"CAN","CA06","Fort Mcpherson","ZFM","Fort Mcpherson"
"CAN","CA02","Fort Nelson","YYE","Fort Nelson"
"CAN","CA06","Fort Resolution","YFR","Fort Resolution"
"CAN","CA08","Fort Severn","YER","Fort Severn Airport"
"CAN","CA06","Fort Simpson","YFS","Fort Simpson"
"CAN","CA06","Fort Smith","YSM","Fort Smith"
"CAN","CA02","Fort Saint John","YXJ","Fort St John"
"CAN","CA02","Fort St. James","YJM","Fort St. James - Perison Airport"
"CAN","CA07","Fox Harbour",,"Fox Harbour Airport"
"CAN","CA02","Fraser BC",,"Fraser Railroad Station"
"CAN","CA04","Fredericton","YFC","Fredericton"
"CAN","CA05","Gander","YQX","Gander Intl"
"CAN","CA02","Ganges",,"Ganges Water Aerodrome"
"CAN","CA10","Gaspe","YGP","Gaspe"
"CAN","CA10","Gatineau","YND","Gatineau"
"CAN","CA08","Geraldton","YGQ","Geraldton Greenstone Regional"
"CAN","CA03","Gillam","YGX","Gillam Airport"
"CAN",,"Gjoa Haven","YHK","Gjoa Haven"
"CAN","CA03","Gods Lake Narrows","YGO","Gods Lake Narrows Airport"
"CAN","CA03","Gods River","ZGI","Gods River Airport"
"CAN","CA02","Golden","YGE","Golden Airport"
"CAN","CA05","Goose Bay","YYR","Goose Bay"
"CAN",,"Gore Bay","YZE","Gore Bay Manitoulin"
"CAN","CA01","Grande Prairie","YQU","Grande Prairie"
"CAN","CA04","Moncton","YQM","Greater Moncton Intl"
"CAN","CA07","Greenwood","YZX","Greenwood"
"CAN","CA13","Grise Fiord","YGZ","Grise Fiord Airport"
"CAN","CA07","Halifax","YHZ","Halifax Intl"
"CAN","CA13","Hall Beach","YUX","Hall Beach"
"CAN","CA08","Hamilton","YHM","Hamilton"
"CAN","CA10","Havre-Saint-Pierre","YGV","Havre Saint-Pierre Airport"
"CAN","CA06","Hay River","YHY","Hay River"
"CAN","CA01","High Level","YOJ","High Level"
"CAN","CA13","Hope Bay",,"Hope Bay Aerodrome"
"CAN","CA05","Hopedale","YHO","Hopedale Airport"
"CAN","CA08","Hornepayne","YHN","Hornepayne"
"CAN","CA11","Hudson Bay","YHB","Hudson Bay"
"CAN",,"Igloolik","YGT","Igloolik Airport"
"CAN",,"Iles De La Madeleine","YGR","Iles De La Madeleine"
"CAN","CA03","Ilford","ILF","Ilford Airport"
"CAN","CA06","Inuvik",,"INAWR"
"CAN","CA10","Inukjuak","YPH","Inukjuak Airport"
"CAN","CA06","Inuvik","YEV","Inuvik Mike Zubko"
"CAN","CA06","Inuvik",,"Inuvik Town"
"CAN","CA13","Iqaluit","YFB","Iqaluit"
"CAN","CA03","Island Lake","YIV","Island Lake Airport"
"CAN","CA10","Ivujivik","YIK","Ivujivik Airport"
"CAN","CA02","Kamloops","YKA","Kamloops"
"CAN",,"Kangiqsualujjuaq","XGR","Kangiqsualujjuaq (Georges River) Airport"
"CAN","CA10","Kangiqsujuaq","YWB","Kangiqsujuaq - Wakeham Bay Airport"
"CAN",,"Kangirsuk","YKG","Kangirsuk Airport"
"CAN","CA08","Kapuskasing","YYU","Kapuskasing"
"CAN","CA08","Kasabonika","XKS","Kasabonika Airport"
"CAN",,"Kashechewan","ZKE","Kashechewan Airport"
"CAN","CA08","Keewaywin","KEW","Keewaywin"
"CAN","CA10","Kegaska","ZKG","Kegaska Airport"
"CAN","CA02","Kelowna","YLW","Kelowna"
"CAN","CA08","Kenora","YQK","Kenora"
"CAN","CA13","Kimmirut","YLC","Kimmirut Airport"
"CAN","CA11","Kindersley","YKY","Kindersley"
"CAN","CA08","Kingfisher Lake","KIF","Kingfisher Lake Airport"
"CAN","CA07","Waterville",,"Kings County Municipal Airport"
"CAN","CA08","Kingston","YGK","Kingston"
"CAN","CA08","Kingston","XEG","Kingston Train Station"
"CAN","CA08","Kingston",,"Kingston VIA Station"
"CAN","CA08","Kirkland Lake","YKX","Kirkland Lake"
"CAN","CA13","Pelly Bay","YBB","Kugaaruk"
"CAN",,"Coppermine","YCO","Kugluktuk"
"CAN","CA10","Quujjuaq","YVP","Kuujjuaq"
"CAN","CA10","Kuujjuarapik","YGW","Kuujjuarapik Airport"
"CAN","CA10","La Grande Riviere","YGL","La Grande Riviere"
"CAN","CA10","La Romaine",,"La Romaine Airport"
"CAN","CA11","La Ronge","YVC","La Ronge"
"CAN","CA10","La Tabati�re","ZLT","La Tabati�re Airport"
"CAN","CA03","Lac Brochet","XLB","Lac Brochet Airport"
"CAN","CA03","Lac Du Bonnet",,"Lac Du Bonnet Airport"
"CAN","CA02","Langley Township",,"Langley Regional Airport"
"CAN","CA08","Lansdowne House","YLH","Lansdowne House Airport"
"CAN","CA08","Toronto","YYZ","Lester B Pearson Intl"
"CAN","CA01","Lethbridge","YQL","Lethbridge"
"CAN","CA03","Little Grand Rapids","ZGR","Little Grand Rapids Airport"
"CAN","CA01","Lloydminster","YLL","Lloydminster"
"CAN","CA08","London","YXU","London"
"CAN","CA10","Lourdes-De-Blanc-Sablon","YBX","Lourdes De Blanc Sablon Airport"
"CAN","CA06","Lutselk'e","YSG","Lutselk'e Airport"
"CAN","CA03","Lynn Lake","YYL","Lynn Lake"
"CAN","CA02","Mackenzie British Columbia","YZY","Mackenzie Airport"
"CAN",,"Makkovik","YMN","Makkovik Airport"
"CAN","CA08","Manitowaning","YEM","Manitoulin East"
"CAN","CA08","Manitouwadge","YMG","Manitouwadge"
"CAN","CA10","Maniwaki","YMW","Maniwaki"
"CAN","CA08","Marathon","YSP","Marathon"
"CAN","CA05","Mary's Harbour","YMH","Mary's Harbour Airport"
"CAN",,"Masset","ZMT","Masset Airport"
"CAN","CA10","Matagami","YNM","Matagami"
"CAN","CA12","Mayo","YMA","Mayo"
"CAN","CA11","Meadow Lake","YLJ","Meadow Lake"
"CAN","CA01","Medicine Hat","YXH","Medicine Hat"
"CAN","CA04","Chatham","YCH","Miramichi"
"CAN","CA10","Mont Joli","YYY","Mont Joli"
"CAN","CA10","Montreal",,"Montreal Central Bus Station"
"CAN","CA10","Montreal","YMX","Montreal Intl Mirabel"
"CAN","CA11","Moose Jaw","YMJ","Moose Jaw Air Vice Marshal C M Mcewen"
"CAN","CA08","Moosonee","YMO","Moosonee"
"CAN","CA08","Muskoka","YQA","Muskoka"
"CAN","CA08","Muskrat Dam","MSA","Muskrat Dam Airport"
"CAN","CA05","Nain","YDP","Nain Airport"
"CAN","CA08","Nakina","YQN","Nakina Airport"
"CAN","CA02","Nanaimo","YCD","Nanaimo"
"CAN","CA02","Nanaimo","ZNA","Nanaimo Harbour Water Airport"
"CAN","CA02","Nanaimo Station British Columb",,"Nanaimo Train Station"
"CAN","CA13","Nanisivik","YSR","Nanisivik"
"CAN","CA10","Natashquan","YNA","Natashquan"
"CAN","CA05","Natuashish",,"Natuashish Airport"
"CAN","CA10","Nemiscau","YNS","Nemiscau Airport"
"CAN","CA08","Niagara Falls",,"Niagara Falls Station"
"CAN",,"Nicholson Peninsula",,"Nicholson Peninsula"
"CAN","CA06","Norman Wells","YVQ","Norman Wells"
"CAN","CA11","North Battleford","YQW","North Battleford"
"CAN","CA08","North Bay","YYB","North Bay"
"CAN","CA08","North Spirit Lake","YNO","North Spirit Lake Airport"
"CAN","CA03","Norway House","YNE","Norway House Airport"
"CAN","CA08","Ogoki Post","YOG","Ogoki Post Airport"
"CAN","CA12","Old Crow","YOC","Old Crow"
"CAN","CA02","One Hundred Mile House",,"One Hundred Mile House Airport"
"CAN","CA08","Oshawa","YOO","Oshawa Airport"
"CAN","CA08","Ottawa","YOW","Ottawa Macdonald Cartier Intl"
"CAN","CA03","Oxford House","YOH","Oxford House Airport"
"CAN","CA02","Vancouver",,"Pacific Station"
"CAN",,"Pangnirtung","YXP","Pangnirtung"
"CAN","CA06","Paulatuk","YPC","Paulatuk"
"CAN","CA01","Peace River","YPE","Peace River"
"CAN","CA08","Peawanuck","YPO","Peawanuck Airport"
"CAN","CA08","Pembroke","YTA","Pembroke Airport"
"CAN","CA02","Penticton","YYF","Penticton"
"CAN","CA08","Petawawa","YWA","Petawawa"
"CAN","CA08","Peterborough","YPQ","Peterborough"
"CAN","CA08","Pickle Lake","YPL","Pickle Lake"
"CAN","CA10","Montreal","YUL","Pierre Elliott Trudeau Intl"
"CAN","CA08","Pikangikum","YPM","Pikangikum Airport"
"CAN","CA02","Pitt Meadows",,"Pitt Meadows"
"CAN","CA11","Points North Landing","YNL","Points North Landing Airport"
"CAN","CA13","Pond Inlet","YIO","Pond Inlet"
"CAN","CA08","Poplar Hill","YHP","Poplar Hill Airport"
"CAN","CA02","Port Hardy","YZT","Port Hardy"
"CAN","CA05","Port Hope Simpson","YHA","Port Hope Simpson Airport"
"CAN","CA10","Port Menier","YPN","Port Menier"
"CAN",,"Postville","YSO","Postville Airport"
"CAN","CA02","Powell River","YPW","Powell River Airport"
"CAN","CA11","Prince Albert","YPA","Prince Albert Glass Field"
"CAN","CA02","Prince George","YXS","Prince George"
"CAN",,"Prince Pupert","YPR","Prince Rupert"
"CAN","CA02","Princeton","YDC","Princeton"
"CAN","CA10","Puvirnituq","YPX","Puvirnituq Airport"
"CAN","CA13","Broughton Island","YVM","Qikiqtarjuaq"
"CAN","CA02","Qualicum Beach","XQU","Qualicum Beach Airport"
"CAN","CA10","Quaqtaq","YQC","Quaqtaq Airport"
"CAN","CA10","Quebec","YQB","Quebec Jean Lesage Intl"
"CAN","CA02","Quesnel","YQZ","Quesnel"
"CAN","CA06","Gam�t�","YRA","Rae Lakes Airport"
"CAN","CA01","Rainbow Lake","YOP","Rainbow Lake Airport"
"CAN",,"Rankin Inlet","YRT","Rankin Inlet"
"CAN","CA01","Red Deer Industrial","YQF","Red Deer Regional"
"CAN","CA08","Red Lake","YRL","Red Lake Airport"
"CAN","CA03","Red Sucker Lake","YRS","Red Sucker Lake Airport"
"CAN","CA11","Regina","YQR","Regina Intl"
"CAN","CA08","Hearst","YHF","Rene Fontaine"
"CAN",,"Repulse Bay","YUT","Repulse Bay"
"CAN","CA13","Resolute","YRB","Resolute Bay"
"CAN","CA02","Revelstoke","YRV","Revelstoke Airport"
"CAN",,"Rigolet","YRG","Rigolet Airport"
"CAN","CA10","Rimouski","YXK","Rimouski Airport"
"CAN","CA10","Riviere Du Loup","YRI","Riviere Du Loup"
"CAN","CA10","Mont-Tremblant","YTM","Riviere Rouge - Mont-Tremblant International Inc. "
"CAN","CA02","Panorama",,"RK Heliplex"
"CAN","CA10","Roberval","YRJ","Roberval"
"CAN","CA01","Rocky Mountain House","YRM","Rocky Mountain House"
"CAN","CA08","Round Lake","ZRJ","Round Lake (Weagamow Lake) Airport"
"CAN","CA10","Rouyn","YUY","Rouyn Noranda"
"CAN","CA08","Sachigo Lake","ZPB","Sachigo Lake Airport"
"CAN","CA06","Sachs Harbour","YSY","Sachs Harbour"
"CAN","CA04","St. John","YSJ","Saint John"
"CAN","CA10","Salluit","YZG","Salluit Airport"
"CAN",,"Sandspit","YZP","Sandspit"
"CAN","CA08","Sandy Lake","ZSJ","Sandy Lake Airport"
"CAN","CA13","Sanikiluaq","YSK","Sanikiluaq Airport"
"CAN","CA11","Saskatoon","YXE","Saskatoon J G Diefenbaker Intl"
"CAN",,"Sault Sainte Marie","YAM","Sault Ste Marie"
"CAN","CA10","Schefferville","YKL","Schefferville"
"CAN","CA02","Prince Rupert","ZSW","Seal Cove Seaplane Base"
"CAN","CA02","Port Simpson","YPI","Seaplane Base"
"CAN","CA02","Sechelt-Gibsons","YHS","Sechelt Aerodrome"
"CAN","CA10","Sept-iles","YZV","Sept Iles"
"CAN","CA03","Shamattawa","ZTM","Shamattawa Airport"
"CAN","CA07","Halifax","YAW","Shearwater"
"CAN","CA10","Sherbrooke","YSC","Sherbrooke"
"CAN","CA08","Sioux Lookout","YXL","Sioux Lookout"
"CAN","CA08","Slate Falls",,"Slate Falls"
"CAN","CA01","Slave Lake","YZH","Slave Lake"
"CAN","CA02","Smithers","YYD","Smithers"
"CAN","CA02","108 Mile Ranch","ZML","South Cariboo Regional Airport"
"CAN","CA03","South Indian Lake","XSI","South Indian Lake Airport"
"CAN","CA03","Portage-la-prairie","YPG","Southport"
"CAN","CA05","St. Anthony","YAY","St Anthony"
"CAN","CA10","St-Augustin","YIF","St Augustin Airport"
"CAN","CA10","Montreal","YHU","St Hubert"
"CAN","CA10","St. Jean","YJN","St Jean"
"CAN","CA05","St. John's","YYT","St Johns Intl"
"CAN",,"St. Lewis","YFX","St. Lewis (Fox Harbour) Airport"
"CAN","CA03","St. Theresa Point","YST","St. Theresa Point Airport"
"CAN","CA05","Stephenville","YJT","Stephenville"
"CAN","CA11","Stony Rapids","YSF","Stony Rapids Airport"
"CAN","CA08","Sudbury","YSB","Sudbury"
"CAN","CA01","Suffield","YSD","Suffield Heliport"
"CAN","CA08","Summer Beaver","SUR","Summer Beaver Airport"
"CAN","CA09","Summerside","YSU","Summerside"
"CAN","CA03","Swan River","ZJN","Swan River Airport"
"CAN","CA11","Swift Current","YYN","Swift Current"
"CAN","CA07","Sydney","YQY","Sydney"
"CAN","CA03","Tadoule Lake","XTL","Tadoule Lake Airport"
"CAN",,"Spence Bay","YYH","Taloyoak"
"CAN","CA10","Tasiujaq","YTQ","Tasiujaq Airport"
"CAN","CA02","Terrace","YXT","Terrace"
"CAN","CA12","Teslin","YZW","Teslin"
"CAN","CA10","T�te-�-la-Baleine","ZTB","T�te-�-la-Baleine Airport"
"CAN","CA02","Texada","YGB","Texada Gillies Bay Airport"
"CAN","CA03","The Pas","YQD","The Pas Airport"
"CAN","CA03","Thompson","YTH","Thompson"
"CAN","CA08","Thunder Bay","YQT","Thunder Bay"
"CAN","CA08","Earlton","YXR","Timiskaming Rgnl"
"CAN","CA08","Timmins","YTS","Timmins"
"CAN","CA02","Tofino","YAZ","Tofino"
"CAN","CA08","Toronto",,"Toronto Coach Terminal"
"CAN","CA02","Trail","YZZ","Trail Airport"
"CAN","CA01","Edmonton","XZL","Train Station"
"CAN","CA03","Winnipeg","XEF","Train Station"
"CAN","CA08","Ottawa","XDS","Train Station"
"CAN","CA08","Belleville","XVV","Train Station"
"CAN",,"Churchill","XAD","Train Station"
"CAN","CA08","Trenton","YTR","Trenton"
"CAN","CA06","Tuktoyaktuk","YUB","Tuktoyaktuk"
"CAN","CA06","Tulita","ZFN","Tulita"
"CAN",,"Holman Island","YHI","Ulukhaktok Holman"
"CAN","CA10","Umiujaq","YUD","Umiujaq Airport"
"CAN","CA08","Toronto","YBZ","Union Station"
"CAN","CA11","Uranium City","YBE","Uranium City Airport"
"CAN","CA10","Val D'or","YVO","Val D Or"
"CAN",,"Vancouver","CXH","Vancouver Coal Harbour"
"CAN",,"Vancouver BC",,"Vancouver Cruise Terminal"
"CAN",,,"YHC","Vancouver Harbour Water Airport"
"CAN","CA02","Vancouver","YVR","Vancouver Intl"
"CAN","CA01","Vermillion","YVG","Vermilion"
"CAN","CA02","Patricia Bay",,"Victoria Airport Water Aerodrome"
"CAN","CA02","Victoria",,"Victoria Cruise Pier"
"CAN","CA02","Victoria","YWH","Victoria Inner Harbour Airport"
"CAN","CA02","Victoria","YYJ","Victoria Intl"
"CAN","CA02","Victoria Station British Colum",,"Victoria Rail Station British Columbia"
"CAN","CA05","Wabush","YWK","Wabush"
"CAN","CA08","Angling Lake","YAX","Wapekeka Airport"
"CAN",,"Waskaganish","YKQ","Waskaganish Airport"
"CAN","CA08","Waterloo","YKF","Waterloo"
"CAN","CA12","Watson Lake","YQH","Watson Lake"
"CAN","CA08","Wawa","YXZ","Wawa"
"CAN","CA08","Webequie","YWP","Webequie Airport"
"CAN","CA06","Wekweeti",,"Wekweeti Airport"
"CAN","CA10","Wemindji","YNC","Wemindji Airport"
"CAN","CA13","Whale Cove","YXN","Whale Cove Airport"
"CAN","CA06","What�","YLE","What� Airport"
"CAN","CA02","Whistler","YWS","Whistler/Green Lake Water Aerodrome"
"CAN","CA01","Whitecourt","YZU","Whitecourt"
"CAN","CA12","Whitehorse","YXY","Whitehorse Intl"
"CAN","CA08","Wiarton","YVV","Wiarton"
"CAN",,"Williams Harbour","YWM","Williams Harbour Airport"
"CAN","CA02","Williams Lake","YWL","Williams Lake"
"CAN","CA08","Windsor","YQG","Windsor"
"CAN","CA03","Winnipeg","YWG","Winnipeg Intl"
"CAN","CA03","Winnipeg","YAV","Winnipeg St Andrews"
"CAN","CA11","Wollaston Lake","ZWL","Wollaston Lake Airport"
"CAN","CA06","Wrigley","YWY","Wrigley"
"CAN","CA08","Wunnumin Lake","WNN","Wunnumin Lake Airport"
"CAN","CA07","Yarmouth","YQI","Yarmouth Airport"
"CAN","CA06","Yellowknife","YZF","Yellowknife"
"CAN","CA03","York Landing","ZAC","York Landing Airport"
"CAN","CA11","Yorkton","YQV","Yorkton Muni"
"USA","SD","Aberdeen","ABR","Aberdeen Regional Airport"
"USA","TX","Abilene","ABI","Abilene Rgnl"
"USA","IL","Springfield","SPI","Abraham Lincoln Capital"
"USA","LA","Louisiana","ARA","Acadiana Rgnl"
"USA","AK","Adak Island","ADK","Adak Airport"
"USA","AR","Little Rock","LIT","Adams Fld"
"USA","TX","Addison","ADS","Addison"
"USA","NY","Saranac Lake","SLK","Adirondack Regional Airport"
"USA","AK","Akhiok","AKK","Akhiok Airport"
"USA","AK","Akiak","AKI","Akiak Airport"
"USA","OH","Akron","CAK","Akron Canton Regional Airport"
"USA","OH","Akron",,"Akron Fulton Intl"
"USA",,"Akutan","KQA","Akutan Seaplane Base"
"USA","AK","Alakanuk","AUK","Alakanuk Airport"
"USA","NM","Alamogordo","ALM","Alamogordo White Sands Regional Airport"
"USA","NY","Albany","ALB","Albany Intl"
"USA","NC","Jacksonville NC","OAJ","Albert J Ellis"
"USA","FL","St. Petersburg","SPG","Albert Whitted"
"USA","NM","Albuquerque","ABQ","Albuquerque International Sunport"
"USA","NM","Kirtland A.f.b.","IKR","Albuquerque Intl Sunport"
"USA","AK","Aleknagik","WKK","Aleknagik Airport"
"USA","VA","Alexandria","ALX","Alexandria"
"USA","LA","Alexandria","AEX","Alexandria Intl"
"USA","TX","Alice","ALI","Alice Intl"
"USA",,"Lazy Bay","ALZ","Alitak Seaplane Base"
"USA","AK","Allakaket","AET","Allakaket Airport"
"USA","PA","Pittsburgh","AGC","Allegheny County Airport"
"USA","AK","Delta Junction","BIG","Allen Aaf"
"USA","NE","Alliance","AIA","Alliance Municipal Airport"
"USA","MI","Alpena","APN","Alpena County Regional Airport"
"USA","PA","Altoona","AOO","Altoona Blair Co"
"USA","OK","Altus","LTS","Altus Afb"
"USA","AK","Ambler","ABL","Ambler Airport"
"USA","AK","Amook Bay","AOS","Amook Bay Seaplane Base"
"USA","WA","Anacortes","OTS","Anacortes Airport"
"USA","AK","Anaktuvuk Pass","AKP","Anaktuvuk Pass Airport"
"USA","AK","Anchorage Alaska",,"Anchorage Main Station"
"USA","SC","Andersen","AND","Anderson Rgnl"
"USA","MD","Camp Springs","ADW","Andrews Afb"
"USA","TX","Lufkin","LFK","Angelina Co"
"USA","AK","Angoon","AGN","Angoon Seaplane Base"
"USA","AK","Aniak","ANI","Aniak Airport"
"USA","IA","Ankeny","IKV","Ankeny Regl Airport"
"USA","AK","Annette Island","ANN","Annette Island"
"USA","AL","Anniston","ANB","Anniston Metro"
"USA","AK","Anvik","ANV","Anvik Airport"
"USA","FL","Apalachicola","AAF","Apalachicola Regional Airport"
"USA","WI","Appleton","ATW","Appleton"
"USA","TX","Rockport","RKP","Aransas County Airport"
"USA","CA","Arcata CA","ACV","Arcata"
"USA","AK","Arctic Village","ARC","Arctic Village Airport"
"USA","PA","Ardmore",,"Ardmore Amtrak Station"
"USA","OK","Ardmore","ADM","Ardmore Muni"
"USA","AR","Blytheville","BYH","Arkansas Intl"
"USA","TX","Arlington","GKY","Arlington Municipal"
